專用標識編號,中文名稱,地址
苗栗縣民宿370號,慕雲想莊園饗旅,362苗栗縣頭屋鄉象山村15鄰濫坑57之2號 
苗栗縣民宿371號,通霄三合院農?,357苗栗縣通霄鎮通灣里1鄰通灣9之1號
苗栗縣民宿373號,雅心山莊,362苗栗縣頭屋鄉明德村10鄰明德路127號
苗栗縣民宿374號,閱微森林,353苗栗縣南庄鄉東村16鄰南庄83之1號
苗栗縣民宿375號,山房子,353苗栗縣南庄鄉南江村10鄰石坑18之8號
苗栗縣民宿376號,桐鄉民宿,367苗栗縣三義鄉勝興村25鄰水美257之1號 
苗栗縣民宿377號,翡翠金鑽民宿,350苗栗縣竹南鎮大埔里1鄰大埔街131號
苗栗縣民宿378號,新之住民宿,353苗栗縣南庄鄉南江村5鄰東江73之6號
苗栗縣民宿379號,綠丘行旅,357苗栗縣通霄鎮城南里5鄰城南66之5號
苗栗縣民宿381號,晴園民宿,353苗栗縣南庄鄉南富村22鄰四灣76號
苗栗縣民宿383號,櫻之芳庭民宿,363苗栗縣公館鄉福星村7鄰福星227之9號
苗栗縣民宿384號,輕山居,357苗栗縣通霄鎮福興里10鄰福興112之33號
苗栗縣民宿385號,自然風情民宿,369苗栗縣卓蘭鎮西坪里12鄰西坪134之7號
苗栗縣民宿386號,焉之美術空間館,367苗栗縣三義鄉龍騰村1鄰龍騰12號
苗栗縣民宿387號,灣麗甜馨民宿,358苗栗縣苑裡鎮田心里8鄰田心83之19號
苗栗縣民宿388號,銅鑼有一種慢,366苗栗縣銅鑼鄉銅鑼村39鄰雙峰路文園巷86之3號
苗栗縣民宿390號,翡翠如意民宿,350苗栗縣竹南鎮大埔里1鄰大埔街129號
苗栗縣民宿392號,癩蛤蟆民宿,367苗栗縣三義鄉龍騰村8鄰外庄66號
苗栗縣民宿393號,小樹的家,366苗栗縣銅鑼鄉福興村3鄰中山路130之1號
苗栗縣民宿394號,向草語蟲民宿,367苗栗縣三義鄉勝興村13鄰勝興50之1號
苗栗縣民宿395號,坪林五二民宿,369苗栗縣卓蘭鎮坪林里5鄰坪林52號
苗栗縣民宿396號,尋找愛麗絲民宿,357苗栗縣通霄鎮福興里2鄰福興13之6號
苗栗縣民宿397號,橘子民宿,350苗栗縣竹南鎮竹南里7鄰民治街12號
苗栗縣民宿398號,喫茶居民宿,363苗栗縣公館鄉福星村2鄰福星43之13號
苗栗縣民宿399號,南庄拾光民宿,353苗栗縣南庄鄉南江村10鄰石坑22號
苗栗縣民宿401號,三義漫步山林民宿,367苗栗縣三義鄉廣盛村41鄰八股路館前9巷1之9號
苗栗縣民宿402號,風山雅筑莊園民宿,366苗栗縣銅鑼鄉盛隆村5鄰盛隆45之18號
苗栗縣民宿403號,沁澐森林莊園,367苗栗縣三義鄉雙潭村16鄰崩山下45之1號
苗栗縣民宿404號,雲洞山莊,367苗栗縣三義鄉雙潭村16鄰崩山下45號
苗栗縣民宿405號,西湖柚子家民宿,368苗栗縣西湖鄉湖東村8鄰埔頂9之45號
苗栗縣民宿406號,晨境森林,353苗栗縣南庄鄉蓬萊村4鄰紅毛館46號
苗栗縣民宿407號,清風朗月莊,363苗栗縣公館鄉福星村10鄰福星312之8號
苗栗縣民宿408號,紅棗民宿,363苗栗縣公館鄉中義村11鄰中義267之5號
苗栗縣民宿409號,無盡夏民宿,353苗栗縣南庄鄉東河村6鄰東興新?55號
苗栗縣民宿410號,酵法自然民宿,356苗栗縣後龍鎮溪洲里14鄰溪洲137之6號
苗栗縣民宿411號,?寓民宿,369苗栗縣卓蘭鎮西坪里4鄰西坪43之18號
苗栗縣民宿412號,?宅民宿,369苗栗縣卓蘭鎮西坪里4鄰西坪43之19號
苗栗縣民宿413號,星之森民宿,353苗栗縣南庄鄉南江村3鄰東江31之15號
苗栗縣民宿414號,美之宿,353苗栗縣南庄鄉田美村2鄰田美22之27號
苗栗縣民宿415號,山田民宿,353苗栗縣南庄鄉田美村3鄰田美66之1號
苗栗縣民宿417號,揚昊民宿,358苗栗縣苑裡鎮蕉埔里8鄰蕉埔86之6號
苗栗縣民宿418號,莓景風采民宿,364苗栗縣大湖鄉大湖村1鄰中原路80號
苗栗縣民宿419號,宣妮民宿,350苗栗縣竹南鎮崎頂里6鄰北戶26之2號
苗栗縣民宿420號,小樹枋民宿,367苗栗縣三義鄉廣盛村41鄰八股路館前7巷1之19號
苗栗縣民宿421號,怡花優靜民宿,353苗栗縣南庄鄉田美村3鄰田美55之2號
苗栗縣民宿422號,微光書旅民宿,366苗栗縣銅鑼鄉銅鑼村19鄰中正路5號
苗栗縣民宿423號,印象莊園民宿,368苗栗縣西湖鄉高埔村3鄰大窩20之9號
苗栗縣民宿424號,石坑口民宿,353苗栗縣南庄鄉南江村13鄰石坑61之6號
苗栗縣民宿425號,杉桐雅築,367苗栗縣三義鄉廣盛村41鄰八股路館前8巷1之1號
苗栗縣民宿426號,公館柿子紅了,363苗栗縣公館鄉福德村3鄰福德21號
苗栗縣民宿428號,苗栗桐馨莊園民宿,363苗栗縣公館鄉福星村1鄰福星29之2號
苗栗縣民宿429號,靛靛民宿,367苗栗縣三義鄉勝興村10鄰勝興13之5號
苗栗縣民宿430號,六沐森民宿,363苗栗縣公館鄉仁安村6鄰仁安99之21號
苗栗縣民宿431號,炭鄉八八庭園民宿,367苗栗縣三義鄉雙湖村22鄰大坑88號
苗栗縣民宿432號,鯉享童樂親子民宿,367苗栗縣三義鄉鯉魚潭村3鄰鯉魚口65之9號
苗栗縣民宿433號,桐顏桐雨渡假山莊,353苗栗縣南庄鄉蓬萊村9鄰四二份8之18號
苗栗縣民宿434號,兔子跳跳親子民宿,350苗栗縣竹南鎮大埔里2鄰科專八路10號
苗栗縣民宿435號,新發興莊園,364苗栗縣大湖鄉大南村3鄰小南勢44號
苗栗縣民宿437號,灣麗客庄民宿,358苗栗縣苑裡鎮客庄里5鄰中正路89號
苗栗縣民宿438號,石壁民宿,364苗栗縣大湖鄉富興村1鄰法雲寺5之3號
苗栗縣民宿440號,莎力畝民宿,365苗栗縣泰安鄉中興村5鄰司馬限19號
苗栗縣民宿441號,蘊慢築民宿,363苗栗縣公館鄉福星村8鄰福星262之5號
苗栗縣民宿443號,安禾居民宿,360苗栗縣苗栗市嘉盛里26鄰為公路686巷1號
苗栗縣民宿445號,小仙肉民宿,360苗栗縣苗栗市維新里21鄰新東街347巷56號
苗栗縣民宿446號,三義說走就走民宿,367苗栗縣三義鄉廣盛村39鄰八股路館前2巷1之22號
苗栗縣民宿447號,溪水旁民宿,367苗栗縣三義鄉?湖村17鄰?湖81之2號
苗栗縣民宿448號,南庄東村民宿,353苗栗縣南庄鄉東村10鄰南庄75之1號
苗栗縣民宿449號,杉林民宿,353苗栗縣南庄鄉東河村12鄰橫屏背26之1號
苗栗縣民宿450號,木星花時間民宿,364苗栗縣大湖鄉義和村8鄰淋漓坪113號
苗栗縣民宿451號,聚福居民宿,363苗栗縣公館鄉仁安村9鄰仁安118之2號
苗栗縣民宿452號,屋登莊園,362苗栗縣頭屋鄉獅潭村8鄰獅潭101之2號
苗栗縣民宿454號,三義漫遊桐花民宿,367苗栗縣三義鄉廣盛村41鄰八股路館前8巷1之26號
苗栗縣民宿455號,天水居,353苗栗縣南庄鄉東河村10鄰六隘寮2之1號
苗栗縣民宿456號,樂吧溪畔莊園,353苗栗縣南庄鄉獅山村5鄰田美22之5號
苗栗縣民宿457號,幸福倍增,353苗栗縣南庄鄉南富村17鄰四灣27之3號
苗栗縣民宿458號,進泉莊民宿,354苗栗縣獅潭鄉新店村12鄰新店164之3號
苗栗縣民宿459號,北河莊園,363苗栗縣公館鄉北河村13鄰北河138之2號
苗栗縣民宿460號,綠意山莊民宿,358苗栗縣苑裡鎮蕉埔里8鄰蕉埔86之5號
苗栗縣民宿461號,岩川民宿,369苗栗縣卓蘭鎮景山里4鄰景山63之1號
苗栗縣民宿462號,格拉斯行館,353苗栗縣南庄鄉南江村5鄰東江80號6樓
苗栗縣民宿463號,山語,353苗栗縣南庄鄉南江村18鄰長崎下25號
苗栗縣民宿464號,三義壹號民宿,367苗栗縣三義鄉?潭村7鄰?連潭99號
苗栗縣民宿465號,萊穗民宿,358苗栗縣苑裡鎮舊社里4鄰舊社37之2號
苗栗縣民宿466號,?弄民宿,369苗栗縣卓蘭鎮西坪里4鄰西坪43-17號
苗栗縣民宿467號,肆院民宿,369苗栗縣卓蘭鎮西坪里4鄰西坪43-16號
苗栗縣民宿468號,福山居莊園,367苗栗縣三義鄉鯉魚潭村9鄰南片山下52-9號
苗栗縣民宿469號,耶西民宿,353苗栗縣南庄鄉獅山村8鄰獅山20-2號
苗栗縣民宿470號,觀心農舍,367苗栗縣三義鄉?湖村?湖99-1號
苗栗縣民宿471號,櫻花樹夏民宿,350苗栗縣竹南鎮正南里10鄰中山路47號
苗栗縣民宿472號,甘丹民宿,367苗栗縣三義鄉?湖村15鄰?湖7之11號
苗栗縣民宿473號,碩玥民宿,363苗栗縣公館鄉仁安村9鄰122之10號
苗栗縣民宿475號,纖宴山莊民宿,367苗栗縣三義鄉?湖村22鄰大坑55之3號
苗栗縣民宿476號,南苑渡假莊園,353苗栗縣南庄鄉南江村14鄰小東河21號
苗栗縣民宿477號,金井灶之居,363苗栗縣公館鄉館東村9鄰館東133之1號
苗栗縣民宿478號,慵懶時光民宿,360苗栗縣苗栗市維新里21鄰新東街347巷37弄5號
苗栗縣民宿479號,官媽民宿,360苗栗縣苗栗市維新里21鄰新東街347巷51號
苗栗縣民宿480號,過云山居民宿,367苗栗縣三義鄉廣盛村13鄰八股路52號
苗栗縣民宿482號,南庄歡樂星球民宿,353苗栗縣南庄鄉西村9鄰中正路47-2號
苗栗縣民宿483號,大湖一品苑,364苗栗縣大湖鄉靜湖村5鄰和平路12號
苗栗縣民宿484號,山上咖啡民宿,352苗栗縣三灣鄉銅鏡村12鄰大銅鑼圈23之9號
苗栗縣民宿485號,興隆幸福小屋,366苗栗縣銅鑼鄉興隆村13鄰156之5號
苗栗縣民宿486號,炎山旅人,367苗栗縣三義鄉鯉魚潭村3鄰鯉魚口65之22號
苗栗縣民宿487號,春慢小築民宿,363苗栗縣公館鄉福星村4鄰福星122之3號
苗栗縣民宿488號,山行寄野民宿,353苗栗縣南庄鄉東河村12鄰橫屏背25之5號
苗栗縣民宿489號,九九之六莊園,366苗栗縣銅鑼鄉苗栗縣銅鑼鄉中平村7鄰中平99號
苗栗縣民宿490號,愛在甜心,364苗栗縣大湖鄉364苗栗縣大湖鄉富興村七鄰八寮灣33-5號
苗栗縣民宿491號,雙峰迓月,366苗栗縣銅鑼鄉苗栗縣銅鑼鄉雙峰路文園巷86-1號
苗栗縣民宿492號,慢慢桐霄民宿,357苗栗縣通霄鎮苗栗縣通霄鎮南和里5鄰南和48之8號
苗栗縣民宿493號,響水別苑,363苗栗縣公館鄉開礦村13鄰開礦194號
苗栗縣民宿494號,?銅鑼客棧,366苗栗縣銅鑼鄉銅鑼村39鄰雙峰路文園巷86之2號
苗栗縣民宿495號,星福居民宿,363苗栗縣公館鄉仁安村6鄰仁安100之16號
苗栗縣民宿496號,湖畔星館民宿,364苗栗縣大湖鄉義和村8鄰淋漓坪127號
苗栗縣民宿497號,裕見生活,353苗栗縣南庄鄉苗栗縣南庄鄉南江村3鄰東江38之12號
苗栗縣民宿498號,北河村民宿,363苗栗縣公館鄉北河村7鄰北河89號
苗栗縣民宿499號,後來的我們民宿,364苗栗縣大湖鄉富興村7鄰八寮灣37之3號
苗栗縣民宿500號,好穗民宿,357苗栗縣通霄鎮通西里30鄰信義路45號
苗栗縣民宿501號,浪漫香草,358苗栗縣苑裡鎮泰田里泰田108之10號
苗栗縣民宿502號,山林間,365苗栗縣泰安鄉大興村5鄰高熊?46號
苗栗縣民宿503號,內之島旅宿,357苗栗縣通霄鎮內島里1鄰內島9之3號
苗栗縣民宿504號,日日安泊民宿,354苗栗縣獅潭鄉新豐村1鄰八角林20之1號
苗栗縣民宿505號,漫泥民宿,363苗栗縣公館鄉尖山村尖山339之5號
苗栗縣民宿506號,悠閣民宿,353苗栗縣南庄鄉東村16鄰中正路196號
苗栗縣民宿507號,山行玫瑰民宿,353苗栗縣南庄鄉東河村12鄰橫屏背25之1號
苗栗縣民宿508號,大山清境,363苗栗縣公館鄉苗栗縣公館鄉開礦村1鄰開礦10號
